"site","transect","subQuadrat","ID","fl","fs","fps","surv","time","TSF","stage","density","density2","transitionJ","transitionSR","transitionLR"
"siteC",3,6,"RY3.6.5",0,NA,NA,1,2011,"one","J",5,25,1,NA,NA
"siteC",4,1,"RY4.1.1",0,NA,NA,1,2011,"one","J",1,1,1,NA,NA
"siteC",4,2,"RY4.2.1",0,NA,NA,1,2011,"one","J",2,4,1,NA,NA
"siteC",4,2,"RY4.2.2",0,NA,NA,1,2011,"one","J",2,4,1,NA,NA
"siteC",1,1,"RY1.1.1",0,NA,NA,1,2012,"two","LR",4,16,NA,NA,0
"siteC",1,1,"RY1.1.2",0,NA,NA,1,2012,"two","SR",4,16,NA,0,NA
"siteC",1,1,"RY1.1.3",0,NA,NA,1,2012,"two","SR",4,16,NA,1,NA
"siteC",1,1,"RY1.1.5",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",1,2,"RY1.2.2",0,NA,NA,1,2012,"two","SR",7,49,NA,1,NA
"siteC",1,2,"RY1.2.3",0,NA,NA,0,2012,"two","J",7,49,NA,NA,NA
"siteC",1,2,"RY1.2.4",0,NA,NA,0,2012,"two","SR",7,49,NA,NA,NA
"siteC",1,2,"RY1.2.5",0,NA,NA,1,2012,"two","SR",7,49,NA,0,NA
"siteC",1,2,"RY1.2.6",0,NA,NA,0,2012,"two","SR",7,49,NA,NA,NA
"siteC",1,2,"RY1.2.7",0,NA,NA,0,2012,"two","SR",7,49,NA,NA,NA
"siteC",1,2,"RY1.2.8",0,NA,NA,0,2012,"two","LR",7,49,NA,NA,NA
"siteC",1,4,"RY1.4.1",0,NA,NA,0,2012,"two","J",4,16,NA,NA,NA
"siteC",1,4,"RY1.4.2",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",1,4,"RY1.4.3",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",1,4,"RY1.4.4",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",1,5,"RY1.5.1",0,NA,NA,0,2012,"two","SR",2,4,NA,NA,NA
"siteC",1,5,"RY1.5.2",0,NA,NA,0,2012,"two","SR",2,4,NA,NA,NA
"siteC",1,6,"RY1.6.1",1,1,5,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",1,6,"RY1.6.3",0,NA,NA,1,2012,"two","SR",4,16,NA,1,NA
"siteC",1,6,"RY1.6.4",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",1,6,"RY1.6.5",0,NA,NA,1,2012,"two","SR",4,16,NA,1,NA
"siteC",1,7,"RY1.7.1",0,NA,NA,1,2012,"two","SR",3,9,NA,1,NA
"siteC",1,7,"RY1.7.2",0,NA,NA,0,2012,"two","SR",3,9,NA,NA,NA
"siteC",1,7,"RY1.7.6",0,NA,NA,1,2012,"two","SR",3,9,NA,1,NA
"siteC",1,8,"RY1.8.1",0,NA,NA,1,2012,"two","SR",18,324,NA,1,NA
"siteC",1,8,"RY1.8.2",0,NA,NA,0,2012,"two","J",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.3",0,NA,NA,1,2012,"two","SR",18,324,NA,0,NA
"siteC",1,8,"RY1.8.4",0,NA,NA,1,2012,"two","J",18,324,0,NA,NA
"siteC",1,8,"RY1.8.5",0,NA,NA,1,2012,"two","J",18,324,0,NA,NA
"siteC",1,8,"RY1.8.7",0,NA,NA,1,2012,"two","J",18,324,0,NA,NA
"siteC",1,8,"RY1.8.8",0,NA,NA,0,2012,"two","SR",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.9",0,NA,NA,0,2012,"two","J",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.10",0,NA,NA,0,2012,"two","J",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.11",0,NA,NA,0,2012,"two","SR",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.13",0,NA,NA,0,2012,"two","SR",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.14",0,NA,NA,0,2012,"two","SR",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.15",0,NA,NA,0,2012,"two","SR",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.17",0,NA,NA,1,2012,"two","SR",18,324,NA,0,NA
"siteC",1,8,"RY1.8.18",0,NA,NA,0,2012,"two","J",18,324,NA,NA,NA
"siteC",1,8,"RY1.8.19",0,NA,NA,1,2012,"two","LR",18,324,NA,NA,0
"siteC",1,8,"RY1.8.20",0,NA,NA,1,2012,"two","J",18,324,1,NA,NA
"siteC",1,8,"RY1.8.21",0,NA,NA,1,2012,"two","SR",18,324,NA,0,NA
"siteC",1,9,"RY1.9.1",0,NA,NA,1,2012,"two","LR",1,1,NA,NA,0
"siteC",2,3,"RY2.3.3",0,NA,NA,0,2012,"two","SR",5,25,NA,NA,NA
"siteC",2,3,"RY2.3.4",0,NA,NA,0,2012,"two","LR",5,25,NA,NA,NA
"siteC",2,3,"RY2.3.6",0,NA,NA,0,2012,"two","LR",5,25,NA,NA,NA
"siteC",2,3,"RY2.3.7",0,NA,NA,0,2012,"two","SR",5,25,NA,NA,NA
"siteC",2,3,"RY2.3.8",0,NA,NA,0,2012,"two","SR",5,25,NA,NA,NA
"siteC",2,4,"RY2.4.1",0,NA,NA,0,2012,"two","SR",3,9,NA,NA,NA
"siteC",2,4,"RY2.4.2",0,NA,NA,0,2012,"two","SR",3,9,NA,NA,NA
"siteC",2,4,"RY2.4.3",0,NA,NA,0,2012,"two","SR",3,9,NA,NA,NA
"siteC",2,5,"RY2.5.1",0,NA,NA,0,2012,"two","LR",5,25,NA,NA,NA
"siteC",2,5,"RY2.5.3",0,NA,NA,0,2012,"two","LR",5,25,NA,NA,NA
"siteC",2,5,"RY2.5.4",0,NA,NA,0,2012,"two","SR",5,25,NA,NA,NA
"siteC",2,5,"RY2.5.6",0,NA,NA,0,2012,"two","SR",5,25,NA,NA,NA
"siteC",2,5,"RY2.5.7",0,NA,NA,0,2012,"two","J",5,25,NA,NA,NA
"siteC",3,1,"RY3.1.1",0,NA,NA,0,2012,"two","SR",2,4,NA,NA,NA
"siteC",3,1,"RY3.1.2",1,1,6,0,2012,"two","LR",2,4,NA,NA,NA
"siteC",3,2,"RY3.2.3",0,NA,NA,0,2012,"two","LR",2,4,NA,NA,NA
"siteC",3,2,"RY3.2.4",0,NA,NA,0,2012,"two","SR",2,4,NA,NA,NA
"siteC",3,3,"RY3.3.3",1,1,6,0,2012,"two","LR",1,1,NA,NA,NA
"siteC",3,4,"RY3.4.1",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",3,4,"RY3.4.2",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",3,4,"RY3.4.3",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",3,4,"RY3.4.4",0,NA,NA,0,2012,"two","SR",4,16,NA,NA,NA
"siteC",3,5,"RY3.5.2",0,NA,NA,0,2012,"two","SR",6,36,NA,NA,NA
"siteC",3,5,"RY3.5.3",0,NA,NA,0,2012,"two","SR",6,36,NA,NA,NA
"siteC",3,5,"RY3.5.4",0,NA,NA,0,2012,"two","SR",6,36,NA,NA,NA
"siteC",3,5,"RY3.5.5",0,NA,NA,0,2012,"two","SR",6,36,NA,NA,NA
"siteC",3,5,"RY3.5.6",0,NA,NA,0,2012,"two","LR",6,36,NA,NA,NA
"siteC",3,5,"RY3.5.7",0,NA,NA,0,2012,"two","J",6,36,NA,NA,NA
"siteC",3,6,"RY3.6.2",0,NA,NA,0,2012,"two","SR",3,9,NA,NA,NA
"siteC",3,6,"RY3.6.4",0,NA,NA,0,2012,"two","SR",3,9,NA,NA,NA
"siteC",3,6,"RY3.6.5",1,1,6,0,2012,"two","LR",3,9,NA,NA,NA
"siteC",4,1,"RY4.1.1",0,NA,NA,0,2012,"two","LR",1,1,NA,NA,NA
"siteC",4,2,"RY4.2.1",1,1,4,0,2012,"two","LR",2,4,NA,NA,NA
"siteC",4,2,"RY4.2.2",1,1,0,0,2012,"two","LR",2,4,NA,NA,NA
"siteE",1,4,"CY1.4.1",0,NA,NA,1,2012,"one","J",3,9,1,NA,NA
"siteE",1,4,"CY1.4.2",0,NA,NA,1,2012,"one","SD",3,9,NA,NA,NA
"siteE",1,4,"CY1.4.3",0,NA,NA,0,2012,"one","SD",3,9,NA,NA,NA
"siteE",1,5,"CY1.5.1",0,NA,NA,1,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,5,"CY1.5.2",0,NA,NA,1,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,5,"CY1.5.3",0,NA,NA,1,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,5,"CY1.5.4",0,NA,NA,0,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,5,"CY1.5.5",0,NA,NA,0,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,5,"CY1.5.6",0,NA,NA,0,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,5,"CY1.5.7",0,NA,NA,1,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,5,"CY1.5.8",0,NA,NA,0,2012,"one","SD",8,64,NA,NA,NA
"siteE",1,6,"CY1.6.1",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.2",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.3",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.4",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.5",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.6",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.7",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.8",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.9",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.10",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.11",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.12",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.13",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.14",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.15",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.16",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.17",0,NA,NA,0,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.18",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.19",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.20",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,6,"CY1.6.21",0,NA,NA,1,2012,"one","SD",21,441,NA,NA,NA
"siteE",1,7,"CY1.7.1",0,NA,NA,0,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.2",0,NA,NA,0,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.3",0,NA,NA,0,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.4",0,NA,NA,0,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.5",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.6",0,NA,NA,0,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.7",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.8",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.9",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.10",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.11",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.12",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.13",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.14",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.15",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.16",0,NA,NA,0,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.17",0,NA,NA,0,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.18",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,7,"CY1.7.19",0,NA,NA,1,2012,"one","SD",19,361,NA,NA,NA
"siteE",1,8,"CY1.8.1",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.2",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.3",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.4",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.5",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.6",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.7",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.8",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.9",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.10",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.11",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.12",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.13",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.14",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.15",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.16",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.17",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.18",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.19",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.20",0,NA,NA,0,2012,"one","J",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.21",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.22",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.23",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.24",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.25",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.26",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.27",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.28",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.29",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.30",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.31",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.32",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.33",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.34",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.35",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.36",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.37",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.38",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.39",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.40",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.41",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.42",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.43",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.44",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.45",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.46",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.47",0,NA,NA,1,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.48",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
"siteE",1,8,"CY1.8.49",0,NA,NA,0,2012,"one","SD",109,11881,NA,NA,NA
