"ID","year","stage_surv","transRA","recruits","season","surv"
58,"1977","Y",NA,NA,"summer",1
23,"1977",NA,NA,NA,"winter",1
23,"1977",NA,NA,NA,"summer",1
26,"1977","Y",NA,NA,"winter",NA
26,"1977",NA,NA,NA,"summer",NA
27,"1977","NRA",NA,NA,"winter",NA
27,"1977",NA,NA,NA,"summer",NA
28,"1977","Y",1,NA,"winter",1
28,"1977","RA",NA,4,"summer",1
29,"1977","Y",NA,NA,"winter",NA
29,"1977",NA,NA,NA,"summer",NA
30,"1977","Y",0,NA,"winter",1
30,"1977","NRA",NA,NA,"summer",1
31,"1977","Y",0,NA,"winter",1
31,"1977","NRA",NA,NA,"summer",1
33,"1977","Y",NA,NA,"winter",0
33,"1977",NA,NA,NA,"summer",NA
34,"1977","NRA",NA,NA,"winter",NA
34,"1977",NA,NA,NA,"summer",NA
35,"1977","Y",1,NA,"winter",1
35,"1977","RA",NA,NA,"summer",0
39,"1977","Y",NA,NA,"winter",NA
39,"1977",NA,NA,NA,"summer",NA
40,"1977","Y",NA,NA,"winter",NA
40,"1977",NA,NA,NA,"summer",NA
2,"1978","NRA",1,NA,"winter",1
2,"1978","RA",NA,3,"summer",1
3,"1978","RA",1,NA,"winter",1
3,"1978","RA",NA,7,"summer",1
59,"1978","NRA",NA,NA,"winter",0
59,"1978",NA,NA,NA,"summer",NA
60,"1978","NRA",NA,NA,"winter",0
60,"1978",NA,NA,NA,"summer",NA
6,"1978","NRA",1,NA,"winter",1
6,"1978","RA",NA,4,"summer",1
61,"1978","NRA",1,NA,"winter",1
61,"1978","RA",NA,3,"summer",1
62,"1978","J",NA,NA,"winter",1
62,"1978","Y",NA,NA,"summer",0
8,"1978","NRA",0,NA,"winter",1
8,"1978","NRA",NA,NA,"summer",1
63,"1978","J",NA,NA,"winter",1
63,"1978","Y",NA,NA,"summer",1
64,"1978","J",NA,NA,"winter",1
64,"1978","Y",NA,NA,"summer",1
65,"1978","J",NA,NA,"winter",0
65,"1978",NA,NA,NA,"summer",NA
66,"1978","J",NA,NA,"winter",1
66,"1978","Y",NA,NA,"summer",1
67,"1978","J",NA,NA,"winter",1
67,"1978","Y",NA,NA,"summer",1
68,"1978","J",NA,NA,"winter",0
68,"1978",NA,NA,NA,"summer",NA
69,"1978","J",NA,NA,"winter",1
69,"1978","Y",NA,NA,"summer",1
70,"1978","J",NA,NA,"winter",0
70,"1978",NA,NA,NA,"summer",NA
71,"1978","J",NA,NA,"winter",0
71,"1978",NA,NA,NA,"summer",NA
72,"1978","J",NA,NA,"winter",1
72,"1978","Y",NA,NA,"summer",1
73,"1978","J",NA,NA,"winter",1
73,"1978","Y",NA,NA,"summer",1
10,"1978",NA,NA,NA,"winter",1
10,"1978",NA,NA,NA,"summer",1
74,"1978","NRA",NA,NA,"winter",0
74,"1978",NA,NA,NA,"summer",NA
11,"1978","NRA",1,NA,"winter",NA
11,"1978","RA",NA,6,"summer",NA
12,"1978","NRA",0,NA,"winter",1
12,"1978","NRA",NA,NA,"summer",0
13,"1978",NA,NA,NA,"winter",NA
13,"1978",NA,NA,NA,"summer",NA
14,"1978","RA",1,NA,"winter",1
14,"1978","RA",NA,5,"summer",1
47,"1978","Y",1,NA,"winter",1
47,"1978","RA",NA,3,"summer",1
48,"1978","Y",0,NA,"winter",1
48,"1978","NRA",NA,NA,"summer",1
50,"1978","Y",0,NA,"winter",1
50,"1978","NRA",NA,NA,"summer",1
51,"1978","Y",0,NA,"winter",1
51,"1978","NRA",NA,NA,"summer",1
53,"1978","Y",NA,NA,"winter",NA
53,"1978",NA,NA,NA,"summer",NA
57,"1978","Y",NA,NA,"winter",1
57,"1978",NA,NA,NA,"summer",1
20,"1978","NRA",0,NA,"winter",1
20,"1978","NRA",NA,NA,"summer",1
75,"1978","NRA",0,NA,"winter",1
75,"1978","NRA",NA,NA,"summer",0
22,"1978",NA,NA,NA,"winter",1
22,"1978","NRA",NA,NA,"summer",1
58,"1978","Y",0,NA,"winter",1
58,"1978","NRA",NA,NA,"summer",1
23,"1978",NA,NA,NA,"winter",1
23,"1978","RA",NA,3,"summer",1
28,"1978","RA",0,NA,"winter",1
28,"1978","NRA",NA,NA,"summer",1
30,"1978","NRA",1,NA,"winter",1
30,"1978","RA",NA,3,"summer",1
31,"1978","NRA",0,NA,"winter",1
31,"1978","NRA",NA,NA,"summer",1
35,"1978","RA",NA,NA,"winter",NA
35,"1978",NA,NA,NA,"summer",NA
2,"1979","RA",NA,NA,"winter",0
2,"1979",NA,NA,NA,"summer",NA
3,"1979","RA",NA,NA,"winter",0
3,"1979",NA,NA,NA,"summer",NA
6,"1979","RA",0,NA,"winter",1
6,"1979","NRA",NA,NA,"summer",1
61,"1979","RA",NA,NA,"winter",1
61,"1979",NA,NA,NA,"summer",1
62,"1979","Y",NA,NA,"winter",NA
62,"1979",NA,NA,NA,"summer",NA
8,"1979","NRA",1,NA,"winter",1
8,"1979","RA",NA,6,"summer",1
63,"1979","Y",0,NA,"winter",1
63,"1979","NRA",NA,NA,"summer",1
64,"1979","Y",1,NA,"winter",1
64,"1979","RA",NA,NA,"summer",1
66,"1979","Y",1,NA,"winter",1
66,"1979","RA",NA,NA,"summer",1
67,"1979","Y",1,NA,"winter",1
67,"1979","RA",NA,NA,"summer",1
69,"1979","Y",1,NA,"winter",1
69,"1979","RA",NA,5,"summer",1
72,"1979","Y",1,NA,"winter",1
72,"1979","RA",NA,4,"summer",1
73,"1979","Y",1,NA,"winter",1
73,"1979","RA",NA,NA,"summer",1
76,"1979","Y",NA,NA,"winter",0
76,"1979",NA,NA,NA,"summer",NA
77,"1979","J",NA,NA,"winter",0
77,"1979",NA,NA,NA,"summer",NA
78,"1979","J",NA,NA,"winter",0
78,"1979",NA,NA,NA,"summer",NA
79,"1979","J",NA,NA,"winter",0
79,"1979",NA,NA,NA,"summer",NA
10,"1979",NA,NA,NA,"winter",1
10,"1979","RA",NA,6,"summer",1
11,"1979","RA",NA,NA,"winter",NA
11,"1979",NA,NA,NA,"summer",NA
12,"1979","NRA",NA,NA,"winter",NA
12,"1979",NA,NA,NA,"summer",NA
14,"1979","RA",1,NA,"winter",1
14,"1979","RA",NA,6,"summer",1
47,"1979","RA",1,NA,"winter",1
47,"1979","RA",NA,NA,"summer",1
80,"1979","J",NA,NA,"winter",1
80,"1979","Y",NA,NA,"summer",0
81,"1979","J",NA,NA,"winter",1
81,"1979","Y",NA,NA,"summer",0
82,"1979","J",NA,NA,"winter",0
82,"1979",NA,NA,NA,"summer",NA
83,"1979","J",NA,NA,"winter",0
83,"1979",NA,NA,NA,"summer",NA
48,"1979","NRA",1,NA,"winter",1
48,"1979","RA",NA,NA,"summer",1
84,"1979","J",NA,NA,"winter",1
84,"1979","Y",NA,NA,"summer",0
85,"1979","J",NA,NA,"winter",0
85,"1979",NA,NA,NA,"summer",NA
86,"1979","J",NA,NA,"winter",1
86,"1979","Y",NA,NA,"summer",1
50,"1979","NRA",0,NA,"winter",1
50,"1979","NRA",NA,NA,"summer",0
87,"1979","J",NA,NA,"winter",0
87,"1979",NA,NA,NA,"summer",NA
51,"1979","NRA",1,NA,"winter",1
51,"1979","RA",NA,NA,"summer",0
88,"1979","J",NA,NA,"winter",1
88,"1979","Y",NA,NA,"summer",1
89,"1979","J",NA,NA,"winter",1
89,"1979","Y",NA,NA,"summer",1
90,"1979","J",NA,NA,"winter",0
90,"1979",NA,NA,NA,"summer",NA
91,"1979","J",NA,NA,"winter",1
91,"1979","Y",NA,NA,"summer",1
92,"1979","J",NA,NA,"winter",1
92,"1979","Y",NA,NA,"summer",1
93,"1979","J",NA,NA,"winter",0
93,"1979",NA,NA,NA,"summer",NA
94,"1979","J",NA,NA,"winter",1
94,"1979","Y",NA,NA,"summer",1
95,"1979","J",NA,NA,"winter",1
95,"1979","Y",NA,NA,"summer",0
96,"1979","J",NA,NA,"winter",0
96,"1979",NA,NA,NA,"summer",NA
97,"1979","J",NA,NA,"winter",1
97,"1979","Y",NA,NA,"summer",0
98,"1979","J",NA,NA,"winter",1
98,"1979","Y",NA,NA,"summer",1
99,"1979","J",NA,NA,"winter",0
99,"1979",NA,NA,NA,"summer",NA
100,"1979","J",NA,NA,"winter",1
100,"1979","Y",NA,NA,"summer",1
101,"1979","J",NA,NA,"winter",1
101,"1979","Y",NA,NA,"summer",1
102,"1979","J",NA,NA,"winter",1
102,"1979","Y",NA,NA,"summer",1
57,"1979",NA,NA,NA,"winter",1
57,"1979","NRA",NA,NA,"summer",1
20,"1979","NRA",NA,NA,"winter",0
20,"1979",NA,NA,NA,"summer",NA
75,"1979","NRA",NA,NA,"winter",NA
75,"1979",NA,NA,NA,"summer",NA
22,"1979","NRA",0,NA,"winter",1
22,"1979","NRA",NA,NA,"summer",1
58,"1979","NRA",NA,NA,"winter",1
58,"1979",NA,NA,NA,"summer",1
23,"1979","RA",NA,NA,"winter",0
23,"1979",NA,NA,NA,"summer",NA
28,"1979","NRA",1,NA,"winter",1
28,"1979","RA",NA,NA,"summer",1
30,"1979","RA",1,NA,"winter",1
30,"1979","RA",NA,NA,"summer",1
31,"1979","NRA",1,NA,"winter",1
31,"1979","RA",NA,3,"summer",1
6,"1980","NRA",1,NA,"winter",1
6,"1980","RA",NA,3,"summer",1
61,"1980",NA,NA,NA,"winter",1
61,"1980","RA",NA,4,"summer",1
8,"1980","RA",1,NA,"winter",1
8,"1980","RA",NA,3,"summer",1
63,"1980","NRA",NA,NA,"winter",1
63,"1980",NA,NA,NA,"summer",1
64,"1980","RA",NA,NA,"winter",0
64,"1980",NA,NA,NA,"summer",NA
66,"1980","RA",1,NA,"winter",1
66,"1980","RA",NA,NA,"summer",1
67,"1980","RA",NA,NA,"winter",0
67,"1980",NA,NA,NA,"summer",NA
69,"1980","RA",1,NA,"winter",1
69,"1980","RA",NA,NA,"summer",1
72,"1980","RA",1,NA,"winter",1
72,"1980","RA",NA,5,"summer",1
73,"1980","RA",1,NA,"winter",1
73,"1980","RA",NA,NA,"summer",0
103,"1980","J",NA,NA,"winter",0
103,"1980",NA,NA,NA,"summer",NA
104,"1980","J",NA,NA,"winter",0
104,"1980",NA,NA,NA,"summer",NA
105,"1980","J",NA,NA,"winter",0
105,"1980",NA,NA,NA,"summer",NA
106,"1980","J",NA,NA,"winter",0
106,"1980",NA,NA,NA,"summer",NA
107,"1980","J",NA,NA,"winter",1
107,"1980","Y",NA,NA,"summer",1
108,"1980","J",NA,NA,"winter",1
108,"1980","Y",NA,NA,"summer",1
109,"1980","J",NA,NA,"winter",1
109,"1980","Y",NA,NA,"summer",1
110,"1980","J",NA,NA,"winter",1
110,"1980","Y",NA,NA,"summer",1
111,"1980","J",NA,NA,"winter",1
111,"1980","Y",NA,NA,"summer",1
112,"1980","J",NA,NA,"winter",0
112,"1980",NA,NA,NA,"summer",NA
113,"1980","J",NA,NA,"winter",0
113,"1980",NA,NA,NA,"summer",NA
10,"1980","RA",NA,NA,"winter",1
10,"1980",NA,NA,NA,"summer",1
14,"1980","RA",NA,NA,"winter",1
14,"1980",NA,NA,NA,"summer",1
47,"1980","RA",1,NA,"winter",1
47,"1980","RA",NA,NA,"summer",1
80,"1980","Y",NA,NA,"winter",NA
80,"1980",NA,NA,NA,"summer",NA
81,"1980","Y",NA,NA,"winter",NA
81,"1980",NA,NA,NA,"summer",NA
48,"1980","RA",1,NA,"winter",1
48,"1980","RA",NA,7,"summer",1
84,"1980","Y",NA,NA,"winter",NA
84,"1980",NA,NA,NA,"summer",NA
85,"1980","Y",NA,NA,"winter",NA
85,"1980",NA,NA,NA,"summer",NA
86,"1980","Y",NA,NA,"winter",0
86,"1980",NA,NA,NA,"summer",NA
50,"1980","NRA",NA,NA,"winter",NA
50,"1980",NA,NA,NA,"summer",NA
114,"1980","J",NA,NA,"winter",0
114,"1980",NA,NA,NA,"summer",NA
115,"1980","J",NA,NA,"winter",0
115,"1980",NA,NA,NA,"summer",NA
51,"1980","RA",NA,NA,"winter",NA
51,"1980",NA,NA,NA,"summer",NA
116,"1980","J",NA,NA,"winter",0
116,"1980",NA,NA,NA,"summer",NA
117,"1980","Y",NA,NA,"winter",0
117,"1980",NA,NA,NA,"summer",NA
88,"1980","Y",1,NA,"winter",1
88,"1980","RA",NA,NA,"summer",1
89,"1980","Y",1,NA,"winter",1
89,"1980","RA",NA,NA,"summer",0
90,"1980","Y",NA,NA,"winter",NA
90,"1980",NA,NA,NA,"summer",NA
91,"1980","Y",NA,NA,"winter",0
91,"1980",NA,NA,NA,"summer",NA
118,"1980","J",NA,NA,"winter",1
118,"1980","Y",NA,NA,"summer",1
92,"1980","Y",NA,NA,"winter",1
92,"1980",NA,NA,NA,"summer",1
94,"1980","Y",1,NA,"winter",1
94,"1980","RA",NA,5,"summer",1
95,"1980","Y",NA,NA,"winter",NA
95,"1980",NA,NA,NA,"summer",NA
96,"1980","Y",NA,NA,"winter",NA
96,"1980",NA,NA,NA,"summer",NA
97,"1980","Y",NA,NA,"winter",NA
97,"1980",NA,NA,NA,"summer",NA
98,"1980","Y",NA,NA,"winter",1
98,"1980",NA,NA,NA,"summer",1
100,"1980","Y",0,NA,"winter",1
100,"1980","NRA",NA,NA,"summer",1
101,"1980","Y",NA,NA,"winter",1
101,"1980",NA,NA,NA,"summer",1
119,"1980","J",NA,NA,"winter",0
119,"1980",NA,NA,NA,"summer",NA
120,"1980","J",NA,NA,"winter",0
120,"1980",NA,NA,NA,"summer",NA
121,"1980","J",NA,NA,"winter",1
121,"1980","Y",NA,NA,"summer",1
122,"1980","J",NA,NA,"winter",1
122,"1980","Y",NA,NA,"summer",1
123,"1980","J",NA,NA,"winter",0
123,"1980",NA,NA,NA,"summer",NA
124,"1980","J",NA,NA,"winter",1
124,"1980","Y",NA,NA,"summer",1
125,"1980","J",NA,NA,"winter",1
125,"1980","Y",NA,NA,"summer",0
126,"1980","J",NA,NA,"winter",1
126,"1980","Y",NA,NA,"summer",1
127,"1980","J",NA,NA,"winter",0
127,"1980",NA,NA,NA,"summer",NA
128,"1980","J",NA,NA,"winter",1
128,"1980","Y",NA,NA,"summer",1
129,"1980","J",NA,NA,"winter",0
129,"1980",NA,NA,NA,"summer",NA
130,"1980","J",NA,NA,"winter",0
130,"1980",NA,NA,NA,"summer",NA
131,"1980","J",NA,NA,"winter",1
131,"1980","Y",NA,NA,"summer",1
132,"1980","J",NA,NA,"winter",1
132,"1980","Y",NA,NA,"summer",1
102,"1980","Y",NA,NA,"winter",1
102,"1980",NA,NA,NA,"summer",1
133,"1980","J",NA,NA,"winter",0
133,"1980",NA,NA,NA,"summer",NA
134,"1980","J",NA,NA,"winter",1
134,"1980","Y",NA,NA,"summer",1
135,"1980","J",NA,NA,"winter",0
135,"1980",NA,NA,NA,"summer",NA
136,"1980","J",NA,NA,"winter",0
136,"1980",NA,NA,NA,"summer",NA
137,"1980","J",NA,NA,"winter",1
137,"1980","Y",NA,NA,"summer",1
138,"1980","J",NA,NA,"winter",0
138,"1980",NA,NA,NA,"summer",NA
139,"1980","J",NA,NA,"winter",1
139,"1980","Y",NA,NA,"summer",0
140,"1980","J",NA,NA,"winter",1
140,"1980","Y",NA,NA,"summer",0
141,"1980","J",NA,NA,"winter",1
141,"1980","Y",NA,NA,"summer",1
142,"1980","J",NA,NA,"winter",0
142,"1980",NA,NA,NA,"summer",NA
57,"1980","NRA",0,NA,"winter",1
57,"1980","NRA",NA,NA,"summer",0
22,"1980","NRA",NA,NA,"winter",NA
22,"1980",NA,NA,NA,"summer",NA
58,"1980",NA,NA,NA,"winter",1
58,"1980","RA",NA,6,"summer",1
28,"1980","RA",1,NA,"winter",1
28,"1980","RA",NA,NA,"summer",1
30,"1980","RA",1,NA,"winter",1
30,"1980","RA",NA,NA,"summer",1
31,"1980","RA",NA,NA,"winter",0
31,"1980",NA,NA,NA,"summer",NA
6,"1981","RA",NA,NA,"winter",0
6,"1981",NA,NA,NA,"summer",NA
61,"1981","RA",NA,NA,"winter",0
61,"1981",NA,NA,NA,"summer",NA
8,"1981","RA",NA,NA,"winter",NA
8,"1981",NA,NA,NA,"summer",NA
63,"1981",NA,NA,NA,"winter",1
63,"1981","RA",NA,1,"summer",1
66,"1981","RA",1,NA,"winter",1
66,"1981","RA",NA,3,"summer",1
67,"1981","RA",NA,NA,"winter",NA
67,"1981",NA,NA,NA,"summer",NA
69,"1981","RA",NA,NA,"winter",0
69,"1981",NA,NA,NA,"summer",NA
72,"1981","RA",0,NA,"winter",1
72,"1981","NRA",NA,NA,"summer",1
73,"1981","RA",NA,NA,"winter",NA
73,"1981",NA,NA,NA,"summer",NA
105,"1981","Y",NA,NA,"winter",NA
105,"1981",NA,NA,NA,"summer",NA
106,"1981","Y",NA,NA,"winter",NA
106,"1981",NA,NA,NA,"summer",NA
107,"1981","Y",NA,NA,"winter",0
107,"1981",NA,NA,NA,"summer",NA
108,"1981","Y",0,NA,"winter",1
108,"1981","NRA",NA,NA,"summer",1
109,"1981","Y",0,NA,"winter",1
109,"1981","NRA",NA,NA,"summer",1
110,"1981","Y",0,NA,"winter",1
110,"1981","NRA",NA,NA,"summer",0
111,"1981","Y",NA,NA,"winter",NA
111,"1981",NA,NA,NA,"summer",NA
112,"1981","Y",NA,NA,"winter",NA
112,"1981",NA,NA,NA,"summer",NA
10,"1981",NA,NA,NA,"winter",NA
10,"1981","RA",NA,4,"summer",NA
14,"1981",NA,NA,NA,"winter",1
14,"1981",NA,NA,NA,"summer",1
47,"1981","RA",0,NA,"winter",1
47,"1981","NRA",NA,NA,"summer",1
48,"1981","RA",NA,NA,"winter",0
48,"1981",NA,NA,NA,"summer",NA
86,"1981","NRA",NA,NA,"winter",NA
86,"1981",NA,NA,NA,"summer",NA
116,"1981","Y",NA,NA,"winter",NA
116,"1981",NA,NA,NA,"summer",NA
88,"1981","RA",NA,NA,"winter",0
88,"1981",NA,NA,NA,"summer",NA
89,"1981","RA",NA,NA,"winter",NA
89,"1981",NA,NA,NA,"summer",NA
118,"1981","Y",0,NA,"winter",1
118,"1981","NRA",NA,NA,"summer",0
92,"1981",NA,NA,NA,"winter",1
92,"1981",NA,NA,NA,"summer",1
94,"1981","RA",1,NA,"winter",1
94,"1981","RA",NA,NA,"summer",1
98,"1981",NA,NA,NA,"winter",1
98,"1981","NRA",NA,NA,"summer",0
100,"1981","NRA",NA,NA,"winter",0
100,"1981",NA,NA,NA,"summer",NA
101,"1981",NA,NA,NA,"winter",1
101,"1981","NRA",NA,NA,"summer",1
121,"1981","Y",NA,NA,"winter",1
121,"1981",NA,NA,NA,"summer",1
122,"1981","Y",0,NA,"winter",1
122,"1981","NRA",NA,NA,"summer",1
123,"1981","Y",NA,NA,"winter",NA
123,"1981",NA,NA,NA,"summer",NA
124,"1981","Y",0,NA,"winter",1
124,"1981","NRA",NA,NA,"summer",1
125,"1981","Y",NA,NA,"winter",NA
125,"1981",NA,NA,NA,"summer",NA
126,"1981","Y",0,NA,"winter",1
126,"1981","NRA",NA,NA,"summer",0
128,"1981","Y",0,NA,"winter",1
128,"1981","NRA",NA,NA,"summer",1
129,"1981","Y",NA,NA,"winter",NA
129,"1981",NA,NA,NA,"summer",NA
131,"1981","Y",0,NA,"winter",1
131,"1981","NRA",NA,NA,"summer",1
132,"1981","Y",0,NA,"winter",1
132,"1981","NRA",NA,NA,"summer",1
102,"1981",NA,NA,NA,"winter",1
102,"1981","NRA",NA,NA,"summer",0
134,"1981","Y",NA,NA,"winter",1
134,"1981",NA,NA,NA,"summer",1
135,"1981","Y",NA,NA,"winter",NA
135,"1981",NA,NA,NA,"summer",NA
136,"1981","Y",NA,NA,"winter",NA
136,"1981",NA,NA,NA,"summer",NA
137,"1981","Y",1,NA,"winter",1
137,"1981","RA",NA,2,"summer",1
139,"1981","Y",NA,NA,"winter",NA
139,"1981",NA,NA,NA,"summer",NA
140,"1981","Y",NA,NA,"winter",NA
140,"1981",NA,NA,NA,"summer",NA
143,"1981","J",NA,NA,"winter",1
143,"1981","Y",NA,NA,"summer",1
144,"1981","J",NA,NA,"winter",0
144,"1981",NA,NA,NA,"summer",NA
145,"1981","J",NA,NA,"winter",1
145,"1981","Y",NA,NA,"summer",1
146,"1981","J",NA,NA,"winter",0
146,"1981",NA,NA,NA,"summer",NA
147,"1981","J",NA,NA,"winter",1
147,"1981","Y",NA,NA,"summer",0
141,"1981","Y",NA,NA,"winter",1
141,"1981",NA,NA,NA,"summer",1
148,"1981","J",NA,NA,"winter",0
148,"1981",NA,NA,NA,"summer",NA
149,"1981","J",NA,NA,"winter",0
149,"1981",NA,NA,NA,"summer",NA
150,"1981","J",NA,NA,"winter",0
150,"1981",NA,NA,NA,"summer",NA
151,"1981","J",NA,NA,"winter",0
151,"1981",NA,NA,NA,"summer",NA
152,"1981","J",NA,NA,"winter",0
152,"1981",NA,NA,NA,"summer",NA
153,"1981","J",NA,NA,"winter",0
153,"1981",NA,NA,NA,"summer",NA
154,"1981","J",NA,NA,"winter",0
154,"1981",NA,NA,NA,"summer",NA
155,"1981","J",NA,NA,"winter",0
155,"1981",NA,NA,NA,"summer",NA
156,"1981","J",NA,NA,"winter",0
156,"1981",NA,NA,NA,"summer",NA
157,"1981","J",NA,NA,"winter",1
157,"1981","Y",NA,NA,"summer",0
158,"1981","J",NA,NA,"winter",0
158,"1981",NA,NA,NA,"summer",NA
159,"1981","J",NA,NA,"winter",1
159,"1981","Y",NA,NA,"summer",1
160,"1981","J",NA,NA,"winter",0
160,"1981",NA,NA,NA,"summer",NA
161,"1981","J",NA,NA,"winter",1
161,"1981","Y",NA,NA,"summer",0
162,"1981","J",NA,NA,"winter",0
162,"1981",NA,NA,NA,"summer",NA
163,"1981","J",NA,NA,"winter",0
163,"1981",NA,NA,NA,"summer",NA
