"site","transect","subQuadrat","ID","fl","fs","fps","surv","time","LS","stage","density","density2","transitionJ","transitionSR","transitionLR"
"SierraCarbonera",3,2,"CM3.2.2",1,1,4,1,2011,"LG","SR",10,100,NA,1,NA
"SierraCarbonera",3,2,"CM3.2.3",0,NA,NA,0,2011,"LG","J",10,100,NA,NA,NA
"SierraCarbonera",3,2,"CM3.2.4",0,NA,NA,1,2011,"LG","J",10,100,0,NA,NA
"SierraCarbonera",3,2,"CM3.2.5",1,4,4,1,2011,"LG","LR",10,100,NA,NA,1
"SierraCarbonera",3,2,"CM3.2.6",1,1,1,1,2011,"LG","SR",10,100,NA,0,NA
"SierraCarbonera",3,2,"CM3.2.7",1,2,2,1,2011,"LG","SR",10,100,NA,0,NA
"SierraCarbonera",3,2,"CM3.2.8",0,NA,NA,1,2011,"LG","J",10,100,0,NA,NA
"SierraCarbonera",3,2,"CM3.2.9",1,1,1,1,2011,"LG","SR",10,100,NA,0,NA
"SierraCarbonera",3,2,"CM3.2.10",1,1,3,1,2011,"LG","SR",10,100,NA,0,NA
"SierraCarbonera",3,3,"CM3.3.1",1,1,2,0,2011,"LG","SR",3,9,NA,NA,NA
"SierraCarbonera",3,3,"CM3.3.2",1,1,4,1,2011,"LG","SR",3,9,NA,0,NA
"SierraCarbonera",3,3,"CM3.3.3",1,2,6,0,2011,"LG","LR",3,9,NA,NA,NA
"SierraCarbonera",3,4,"CM3.4.1",1,1,1,0,2011,"LG","SR",2,4,NA,NA,NA
"SierraCarbonera",3,4,"CM3.4.2",1,1,3,0,2011,"LG","SR",2,4,NA,NA,NA
"SierraCarbonera",3,9,"CM3.9.1",1,1,4,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",3,9,"CM3.9.2",1,1,2,1,2011,"LG","LR",11,121,NA,NA,0
"SierraCarbonera",3,9,"CM3.9.3",1,1,3,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",3,9,"CM3.9.4",1,1,1,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",3,9,"CM3.9.5",0,NA,NA,0,2011,"LG","SR",11,121,NA,NA,NA
"SierraCarbonera",3,9,"CM3.9.6",1,1,1,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",3,9,"CM3.9.7",1,2,2,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",3,9,"CM3.9.8",1,1,2,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",3,9,"CM3.9.9",1,2,2,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",3,9,"CM3.9.10",1,3,1,0,2011,"LG","LR",11,121,NA,NA,NA
"SierraCarbonera",3,9,"CM3.9.11",1,2,1,0,2011,"LG","SR",11,121,NA,NA,NA
"SierraCarbonera",3,10,"CM3.10.1",1,1,3,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",3,10,"CM3.10.2",1,1,3,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",3,10,"CM3.10.3",1,1,3,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",3,10,"CM3.10.4",1,1,6,1,2011,"LG","SR",15,225,NA,1,NA
"SierraCarbonera",3,10,"CM3.10.5",1,1,3,0,2011,"LG","SR",15,225,NA,NA,NA
"SierraCarbonera",3,10,"CM3.10.6",1,1,1,1,2011,"LG","LR",15,225,NA,NA,0
"SierraCarbonera",3,10,"CM3.10.7",1,2,4,1,2011,"LG","LR",15,225,NA,NA,0
"SierraCarbonera",3,10,"CM3.10.8",1,1,3,0,2011,"LG","SR",15,225,NA,NA,NA
"SierraCarbonera",3,10,"CM3.10.9",1,2,2,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",3,10,"CM3.10.10",1,1,3,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",3,10,"CM3.10.11",1,1,1,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",3,10,"CM3.10.12",1,1,7,1,2011,"LG","SR",15,225,NA,1,NA
"SierraCarbonera",3,10,"CM3.10.13",1,1,2,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",3,10,"CM3.10.14",0,NA,NA,1,2011,"LG","J",15,225,0,NA,NA
"SierraCarbonera",3,10,"CM3.10.15",1,1,3,1,2011,"LG","SR",15,225,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.1",1,2,1,1,2011,"LG","SR",22,484,NA,1,NA
"SierraCarbonera",4,2,"CM4.2.2",0,NA,NA,1,2011,"LG","J",22,484,0,NA,NA
"SierraCarbonera",4,2,"CM4.2.3",1,1,1,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.4",1,1,0,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.5",1,1,1,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.6",0,NA,NA,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.7",1,2,3,1,2011,"LG","LR",22,484,NA,NA,0
"SierraCarbonera",4,2,"CM4.2.8",0,NA,NA,1,2011,"LG","SD",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.12",1,1,2,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.13",1,1,2,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.14",1,1,1,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.15",1,2,2,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.16",1,3,2,0,2011,"LG","LR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.17",1,2,2,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.18",1,1,4,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.19",1,2,2,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.20",1,1,4,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.21",1,2,2,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.22",1,1,3,1,2011,"LG","SR",22,484,NA,0,NA
"SierraCarbonera",4,2,"CM4.2.23",1,2,2,1,2011,"LG","LR",22,484,NA,NA,1
"SierraCarbonera",4,2,"CM4.2.24",1,1,2,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,2,"CM4.2.25",1,1,1,0,2011,"LG","SR",22,484,NA,NA,NA
"SierraCarbonera",4,3,"CM4.3.1",1,1,1,0,2011,"LG","LR",9,81,NA,NA,NA
"SierraCarbonera",4,3,"CM4.3.2",0,NA,NA,0,2011,"LG","J",9,81,NA,NA,NA
"SierraCarbonera",4,3,"CM4.3.3",0,NA,NA,1,2011,"LG","J",9,81,0,NA,NA
"SierraCarbonera",4,3,"CM4.3.4",0,NA,NA,1,2011,"LG","J",9,81,0,NA,NA
"SierraCarbonera",4,3,"CM4.3.5",1,1,1,0,2011,"LG","SR",9,81,NA,NA,NA
"SierraCarbonera",4,3,"CM4.3.6",1,1,1,0,2011,"LG","SR",9,81,NA,NA,NA
"SierraCarbonera",4,3,"CM4.3.7",1,1,1,0,2011,"LG","SR",9,81,NA,NA,NA
"SierraCarbonera",4,3,"CM4.3.8",1,3,3,1,2011,"LG","LR",9,81,NA,NA,0
"SierraCarbonera",4,3,"CM4.3.9",1,1,3,0,2011,"LG","SR",9,81,NA,NA,NA
"SierraCarbonera",4,6,"CM4.6.1",1,2,4,1,2011,"LG","LR",1,1,NA,NA,1
"SierraCarbonera",4,7,"CM4.7.1",1,2,2,0,2011,"LG","SR",11,121,NA,NA,NA
"SierraCarbonera",4,7,"CM4.7.2",0,NA,NA,1,2011,"LG","J",11,121,0,NA,NA
"SierraCarbonera",4,7,"CM4.7.3",0,NA,NA,1,2011,"LG","J",11,121,0,NA,NA
"SierraCarbonera",4,7,"CM4.7.4",1,1,3,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,7,"CM4.7.5",0,NA,NA,1,2011,"LG","J",11,121,0,NA,NA
"SierraCarbonera",4,7,"CM4.7.6",1,1,1,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,7,"CM4.7.7",1,1,2,0,2011,"LG","SR",11,121,NA,NA,NA
"SierraCarbonera",4,7,"CM4.7.8",1,1,1,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,7,"CM4.7.9",0,NA,NA,1,2011,"LG","J",11,121,0,NA,NA
"SierraCarbonera",4,7,"CM4.7.10",1,1,2,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,7,"CM4.7.11",0,NA,NA,0,2011,"LG","J",11,121,NA,NA,NA
"SierraCarbonera",4,8,"CM4.8.1",1,1,3,0,2011,"LG","SR",6,36,NA,NA,NA
"SierraCarbonera",4,8,"CM4.8.2",1,1,5,1,2011,"LG","SR",6,36,NA,0,NA
"SierraCarbonera",4,8,"CM4.8.3",1,1,3,1,2011,"LG","SR",6,36,NA,0,NA
"SierraCarbonera",4,8,"CM4.8.4",1,3,3,0,2011,"LG","LR",6,36,NA,NA,NA
"SierraCarbonera",4,8,"CM4.8.5",0,NA,NA,0,2011,"LG","SR",6,36,NA,NA,NA
"SierraCarbonera",4,8,"CM4.8.6",1,1,3,0,2011,"LG","SR",6,36,NA,NA,NA
"SierraCarbonera",4,9,"CM4.9.1",1,1,4,0,2011,"LG","SR",1,1,NA,NA,NA
"SierraCarbonera",4,10,"CM4.10.1",1,2,2,0,2011,"LG","LR",11,121,NA,NA,NA
"SierraCarbonera",4,10,"CM4.10.2",0,NA,NA,1,2011,"LG","J",11,121,0,NA,NA
"SierraCarbonera",4,10,"CM4.10.3",1,1,2,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,10,"CM4.10.4",1,1,1,0,2011,"LG","SR",11,121,NA,NA,NA
"SierraCarbonera",4,10,"CM4.10.5",1,1,1,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,10,"CM4.10.6",1,2,2,1,2011,"LG","LR",11,121,NA,NA,0
"SierraCarbonera",4,10,"CM4.10.7",1,1,2,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,10,"CM4.10.8",1,1,1,0,2011,"LG","SR",11,121,NA,NA,NA
"SierraCarbonera",4,10,"CM4.10.9",1,1,3,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,10,"CM4.10.10",1,1,1,1,2011,"LG","SR",11,121,NA,0,NA
"SierraCarbonera",4,10,"CM4.10.11",1,3,3,1,2011,"LG","LR",11,121,NA,NA,0
"Retin",1,3,"RO1.3.1",0,NA,NA,0,2011,"HG","J",2,4,NA,NA,NA
"Retin",1,3,"RO1.3.2",0,NA,NA,0,2011,"HG","J",2,4,NA,NA,NA
"Retin",1,4,"RO1.4.1",0,NA,NA,0,2011,"HG","J",1,1,NA,NA,NA
"Retin",1,6,"RO1.6.1",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.2",1,1,2,1,2011,"HG","SR",40,1600,NA,1,NA
"Retin",1,6,"RO1.6.3",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.4",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.5",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.6",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.7",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.8",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.9",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.10",0,NA,NA,1,2011,"HG","J",40,1600,1,NA,NA
"Retin",1,6,"RO1.6.11",0,NA,NA,1,2011,"HG","J",40,1600,1,NA,NA
"Retin",1,6,"RO1.6.12",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.13",0,NA,NA,1,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.14",0,NA,NA,1,2011,"HG","J",40,1600,0,NA,NA
"Retin",1,6,"RO1.6.15",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.16",0,NA,NA,1,2011,"HG","J",40,1600,0,NA,NA
"Retin",1,6,"RO1.6.17",0,NA,NA,1,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.18",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.19",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.20",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.21",0,NA,NA,1,2011,"HG","J",40,1600,0,NA,NA
"Retin",1,6,"RO1.6.22",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.23",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.24",0,NA,NA,1,2011,"HG","J",40,1600,0,NA,NA
"Retin",1,6,"RO1.6.25",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.26",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.27",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.28",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.29",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.30",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.31",0,NA,NA,1,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.32",0,NA,NA,1,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.33",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.34",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.35",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.36",0,NA,NA,0,2011,"HG","SD",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.37",0,NA,NA,1,2011,"HG","J",40,1600,0,NA,NA
"Retin",1,6,"RO1.6.38",1,1,11,0,2011,"HG","LR",40,1600,NA,NA,NA
"Retin",1,6,"RO1.6.39",0,NA,NA,1,2011,"HG","J",40,1600,1,NA,NA
"Retin",1,6,"RO1.6.40",0,NA,NA,0,2011,"HG","J",40,1600,NA,NA,NA
"Retin",1,7,"RO1.7.1",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.2",0,NA,NA,0,2011,"HG","J",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.3",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.4",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.5",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.6",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.7",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.8",0,NA,NA,1,2011,"HG","J",15,225,1,NA,NA
"Retin",1,7,"RO1.7.9",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.10",0,NA,NA,0,2011,"HG","J",15,225,NA,NA,NA
"Retin",1,7,"RO1.7.11",0,NA,NA,1,2011,"HG","J",15,225,1,NA,NA
"Retin",1,7,"RO1.7.12",0,NA,NA,1,2011,"HG","J",15,225,0,NA,NA
"Retin",1,7,"RO1.7.13",0,NA,NA,1,2011,"HG","J",15,225,1,NA,NA
"Retin",1,7,"RO1.7.14",0,NA,NA,1,2011,"HG","J",15,225,0,NA,NA
"Retin",1,7,"RO1.7.15",0,NA,NA,0,2011,"HG","SD",15,225,NA,NA,NA
"Retin",1,8,"RO1.8.1",1,1,7,1,2011,"HG","LR",3,9,NA,NA,0
"Retin",1,8,"RO1.8.2",1,4,4,1,2011,"HG","LR",3,9,NA,NA,0
"Retin",1,8,"RO1.8.3",1,1,4,1,2011,"HG","SR",3,9,NA,1,NA
"Retin",1,9,"RO1.9.1",1,1,8,0,2011,"HG","LR",1,1,NA,NA,NA
"Retin",2,2,"RO2.2.1",0,NA,NA,0,2011,"HG","J",3,9,NA,NA,NA
"Retin",2,2,"RO2.2.2",0,NA,NA,0,2011,"HG","J",3,9,NA,NA,NA
"Retin",2,2,"RO2.2.3",0,NA,NA,1,2011,"HG","J",3,9,1,NA,NA
"Retin",2,3,"RO2.3.1",0,NA,NA,1,2011,"HG","SD",7,49,NA,NA,NA
"Retin",2,3,"RO2.3.2",0,NA,NA,1,2011,"HG","SD",7,49,NA,NA,NA
"Retin",2,3,"RO2.3.3",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",2,3,"RO2.3.4",0,NA,NA,1,2011,"HG","J",7,49,1,NA,NA
"Retin",2,3,"RO2.3.5",0,NA,NA,1,2011,"HG","J",7,49,1,NA,NA
"Retin",2,3,"RO2.3.6",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",2,3,"RO2.3.7",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",2,4,"RO2.4.1",0,NA,NA,1,2011,"HG","J",5,25,1,NA,NA
"Retin",2,4,"RO2.4.2",0,NA,NA,0,2011,"HG","J",5,25,NA,NA,NA
"Retin",2,4,"RO2.4.3",0,NA,NA,1,2011,"HG","J",5,25,0,NA,NA
"Retin",2,4,"RO2.4.4",0,NA,NA,1,2011,"HG","J",5,25,1,NA,NA
"Retin",2,4,"RO2.4.5",0,NA,NA,0,2011,"HG","J",5,25,NA,NA,NA
"Retin",2,7,"RO2.7.1",1,1,3,1,2011,"HG","LR",21,441,NA,NA,0
"Retin",2,7,"RO2.7.2",0,NA,NA,1,2011,"HG","J",21,441,0,NA,NA
"Retin",2,7,"RO2.7.3",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.4",0,NA,NA,1,2011,"HG","J",21,441,0,NA,NA
"Retin",2,7,"RO2.7.5",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.6",0,NA,NA,0,2011,"HG","J",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.7",0,NA,NA,0,2011,"HG","J",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.8",0,NA,NA,0,2011,"HG","J",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.9",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.10",0,NA,NA,0,2011,"HG","J",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.11",1,1,7,1,2011,"HG","LR",21,441,NA,NA,0
"Retin",2,7,"RO2.7.12",0,NA,NA,1,2011,"HG","J",21,441,0,NA,NA
"Retin",2,7,"RO2.7.13",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.14",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.15",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.16",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.17",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.18",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.19",0,NA,NA,0,2011,"HG","SD",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.20",0,NA,NA,0,2011,"HG","J",21,441,NA,NA,NA
"Retin",2,7,"RO2.7.21",0,NA,NA,1,2011,"HG","J",21,441,1,NA,NA
"Retin",2,8,"RO2.8.1",0,NA,NA,0,2011,"HG","SD",1,1,NA,NA,NA
"Retin",3,1,"RO3.1.1",0,NA,NA,0,2011,"HG","SD",5,25,NA,NA,NA
"Retin",3,1,"RO3.1.2",0,NA,NA,0,2011,"HG","SD",5,25,NA,NA,NA
"Retin",3,1,"RO3.1.3",0,NA,NA,1,2011,"HG","J",5,25,0,NA,NA
"Retin",3,1,"RO3.1.4",0,NA,NA,0,2011,"HG","SD",5,25,NA,NA,NA
"Retin",3,1,"RO3.1.5",0,NA,NA,0,2011,"HG","J",5,25,NA,NA,NA
"Retin",3,3,"RO3.3.1",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",3,3,"RO3.3.2",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",3,3,"RO3.3.3",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",3,3,"RO3.3.4",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",3,3,"RO3.3.5",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",3,3,"RO3.3.6",0,NA,NA,0,2011,"HG","SD",7,49,NA,NA,NA
"Retin",3,3,"RO3.3.7",0,NA,NA,0,2011,"HG","J",7,49,NA,NA,NA
"Retin",3,4,"RO3.4.1",0,NA,NA,0,2011,"HG","J",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.2",0,NA,NA,1,2011,"HG","J",16,256,0,NA,NA
"Retin",3,4,"RO3.4.3",0,NA,NA,0,2011,"HG","J",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.4",0,NA,NA,0,2011,"HG","J",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.5",0,NA,NA,1,2011,"HG","SD",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.6",0,NA,NA,0,2011,"HG","SD",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.7",0,NA,NA,0,2011,"HG","J",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.8",0,NA,NA,0,2011,"HG","SD",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.9",0,NA,NA,1,2011,"HG","J",16,256,0,NA,NA
"Retin",3,4,"RO3.4.10",0,NA,NA,0,2011,"HG","J",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.11",0,NA,NA,1,2011,"HG","J",16,256,1,NA,NA
"Retin",3,4,"RO3.4.12",0,NA,NA,1,2011,"HG","SD",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.13",0,NA,NA,1,2011,"HG","SD",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.14",0,NA,NA,1,2011,"HG","SD",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.15",0,NA,NA,0,2011,"HG","SD",16,256,NA,NA,NA
"Retin",3,4,"RO3.4.16",0,NA,NA,1,2011,"HG","J",16,256,1,NA,NA
"Retin",3,5,"RO3.5.1",0,NA,NA,0,2011,"HG","J",14,196,NA,NA,NA
"Retin",3,5,"RO3.5.2",0,NA,NA,0,2011,"HG","J",14,196,NA,NA,NA
